ROWID,Country,State,District,Year,Class,Schools_Surveyed,Students_Surveyed,AVG_L813,AVG_M601,AVG_SCI703,AVG_SST605,AVG_M801,AVG_SCI801,AVG_SST704
85,India,Punjab,Mansa,"Calendar Year (Jan - Dec), 2017",8,204.0,5704.0,46.5,24.02,22.97,37.8,20.45,44.28,8.68
86,India,Punjab,Mansa,"Calendar Year (Jan - Dec), 2021",8,204.0,5288.0,66.02,69.34,48.04,48.92,47.44,61.79,55.46
87,India,Punjab,Moga,"Calendar Year (Jan - Dec), 2017",8,204.0,4416.0,49.51,21.9,22.88,44.02,23.4,47.39,11.88
88,India,Punjab,Moga,"Calendar Year (Jan - Dec), 2021",8,232.0,6036.0,69.94,63.86,49.03,49.55,45.74,61.57,57.07
89,India,Punjab,Sri Muktsar Sahib,"Calendar Year (Jan - Dec), 2017",8,204.0,4092.0,51.49,25.38,25.85,48.0,19.39,53.01,12.12
90,India,Punjab,Sri Muktsar Sahib,"Calendar Year (Jan - Dec), 2021",8,204.0,4816.0,70.93,68.39,49.63,55.19,47.46,64.1,65.86
91,India,Punjab,Shahid Bhagat Singh Nagar,"Calendar Year (Jan - Dec), 2017",8,204.0,4672.0,51.15,28.52,28.29,43.32,22.8,50.9,13.99
92,India,Punjab,Shahid Bhagat Singh Nagar,"Calendar Year (Jan - Dec), 2021",8,264.0,5736.0,64.15,61.35,45.92,45.04,45.03,60.18,51.01
93,India,Punjab,Patiala,"Calendar Year (Jan - Dec), 2017",8,204.0,3936.0,51.91,26.1,28.14,41.46,19.55,48.94,9.47
94,India,Punjab,Patiala,"Calendar Year (Jan - Dec), 2021",8,284.0,7012.0,68.81,69.46,52.46,56.74,49.35,63.95,62.51
95,India,Punjab,Rupnagar,"Calendar Year (Jan - Dec), 2017",8,204.0,4340.0,49.54,25.23,23.84,38.62,20.45,49.84,9.67
96,India,Punjab,Rupnagar,"Calendar Year (Jan - Dec), 2021",8,272.0,5904.0,63.81,59.74,41.14,50.22,42.25,57.42,57.08
97,India,Punjab,Sangrur,"Calendar Year (Jan - Dec), 2017",8,151.00078843912615,3964.5108964703913,45.41,25.55,24.41,40.55,16.87,39.87,9.12
98,India,Punjab,Sangrur,"Calendar Year (Jan - Dec), 2021",8,204.29518435881772,5151.791605570185,65.63,52.9,42.46,51.46,41.81,57.49,55.38
99,India,Punjab,Barnala,"Calendar Year (Jan - Dec), 2017",8,144.0,3320.0,50.43,26.98,24.52,40.24,23.25,43.55,8.5
100,India,Punjab,Barnala,"Calendar Year (Jan - Dec), 2021",8,208.0,4928.0,71.83,68.67,51.84,58.19,50.43,64.27,56.61
101,India,Punjab,S.A.S Nagar,"Calendar Year (Jan - Dec), 2017",8,204.0,5016.0,46.45,22.92,29.35,37.64,18.31,43.0,15.4
102,India,Punjab,S.A.S Nagar,"Calendar Year (Jan - Dec), 2021",8,252.0,6320.0,66.85,62.24,46.37,46.03,42.13,61.24,55.29
103,India,Punjab,Tarn Taran,"Calendar Year (Jan - Dec), 2017",8,204.0,4624.0,46.82,25.92,28.03,34.6,23.25,42.82,12.99
104,India,Punjab,Tarn Taran,"Calendar Year (Jan - Dec), 2021",8,244.0,6148.0,67.1,66.29,48.58,55.0,51.72,62.85,58.88
105,India,Punjab,Fazilka,"Calendar Year (Jan - Dec), 2017",8,204.0,4844.0,53.63,29.47,30.69,45.83,28.01,57.54,9.39
106,India,Punjab,Fazilka,"Calendar Year (Jan - Dec), 2021",8,232.0,5536.0,66.79,60.47,42.06,48.64,42.25,56.56,55.4
107,India,Punjab,Pathankot,"Calendar Year (Jan - Dec), 2017",8,192.0,3960.0,52.48,25.38,24.83,36.77,28.54,46.91,14.38
108,India,Punjab,Pathankot,"Calendar Year (Jan - Dec), 2021",8,264.0,6284.0,66.39,60.44,46.93,45.49,42.67,59.31,46.91
109,India,Punjab,Malerkotla,"Calendar Year (Jan - Dec), 2017",8,52.99921156087384,1391.489103529609,45.41,25.55,24.41,40.55,16.87,39.87,9.12
110,India,Punjab,Malerkotla,"Calendar Year (Jan - Dec), 2021",8,71.70481564118225,1808.208394429813,65.63,52.9,42.46,51.46,41.81,57.49,55.38
111,India,Chandigarh,Chandigarh,"Calendar Year (Jan - Dec), 2017",8,428.0,11552.0,61.1,42.98,45.67,56.72,39.66,60.43,41.0
112,India,Chandigarh,Chandigarh,"Calendar Year (Jan - Dec), 2021",8,232.0,6852.0,64.35,66.7,49.61,52.14,45.66,59.6,58.8
113,India,Uttarakhand,Almora,"Calendar Year (Jan - Dec), 2017",8,204.0,4588.0,55.7,31.38,37.23,57.02,28.75,53.79,42.86
114,India,Uttarakhand,Almora,"Calendar Year (Jan - Dec), 2021",8,372.0,7124.0,56.12,49.5,37.35,39.35,35.19,47.25,37.14
115,India,Uttarakhand,Bageshwar,"Calendar Year (Jan - Dec), 2017",8,204.0,4296.0,60.68,35.81,45.88,64.9,35.89,58.97,57.01
116,India,Uttarakhand,Bageshwar,"Calendar Year (Jan - Dec), 2021",8,316.0,5928.0,53.24,50.45,38.57,40.17,33.24,44.2,41.49
117,India,Uttarakhand,Chamoli,"Calendar Year (Jan - Dec), 2017",8,204.0,3612.0,57.69,34.61,46.36,62.02,36.68,61.74,52.62
118,India,Uttarakhand,Chamoli,"Calendar Year (Jan - Dec), 2021",8,352.0,6380.0,51.51,43.29,34.79,43.33,31.93,41.83,35.33
119,India,Uttarakhand,Champawat,"Calendar Year (Jan - Dec), 2017",8,200.0,4480.0,51.85,30.39,36.48,46.79,26.35,50.89,47.11
120,India,Uttarakhand,Champawat,"Calendar Year (Jan - Dec), 2021",8,260.0,5660.0,52.55,50.28,37.03,39.48,32.98,42.47,39.02
121,India,Uttarakhand,Dehradun,"Calendar Year (Jan - Dec), 2017",8,204.0,4672.0,58.73,41.32,45.01,60.45,32.6,61.64,50.34
122,India,Uttarakhand,Dehradun,"Calendar Year (Jan - Dec), 2021",8,332.0,8580.0,58.72,46.89,38.53,38.14,36.1,49.75,39.9
123,India,Uttarakhand,Haridwar,"Calendar Year (Jan - Dec), 2017",8,204.0,5148.0,58.82,39.38,51.06,60.37,34.62,62.68,48.22
124,India,Uttarakhand,Haridwar,"Calendar Year (Jan - Dec), 2021",8,300.0,8092.0,53.02,47.96,37.6,37.97,36.98,45.83,43.91
125,India,Uttarakhand,Nainital,"Calendar Year (Jan - Dec), 2017",8,204.0,4612.0,57.92,30.89,43.36,57.59,31.04,56.77,48.32
126,India,Uttarakhand,Nainital,"Calendar Year (Jan - Dec), 2021",8,304.0,7428.0,61.65,49.94,42.88,38.29,37.95,54.75,46.65
127,India,Uttarakhand,Pauri Garhwal,"Calendar Year (Jan - Dec), 2017",8,204.0,3556.0,66.99,47.42,49.93,70.87,42.34,67.23,52.25
128,India,Uttarakhand,Pauri Garhwal,"Calendar Year (Jan - Dec), 2021",8,432.0,7656.0,61.63,55.35,43.16,49.36,36.5,51.43,48.91
129,India,Uttarakhand,Pithoragarh,"Calendar Year (Jan - Dec), 2017",8,204.0,3788.0,62.91,44.33,48.0,66.0,31.85,63.35,52.23
130,India,Uttarakhand,Pithoragarh,"Calendar Year (Jan - Dec), 2021",8,296.0,5164.0,53.53,52.05,37.68,38.83,37.92,45.11,42.77
131,India,Uttarakhand,Rudra Prayag,"Calendar Year (Jan - Dec), 2017",8,204.0,4396.0,63.06,37.77,50.88,68.97,34.3,67.11,63.7
132,India,Uttarakhand,Rudra Prayag,"Calendar Year (Jan - Dec), 2021",8,344.0,6212.0,54.55,43.39,37.19,45.06,33.2,44.47,38.61
133,India,Uttarakhand,Tehri Garhwal,"Calendar Year (Jan - Dec), 2017",8,204.0,4084.0,65.41,53.07,57.47,69.54,46.9,69.13,56.2
134,India,Uttarakhand,Tehri Garhwal,"Calendar Year (Jan - Dec), 2021",8,364.0,7044.0,52.9,44.06,36.01,42.15,28.19,43.69,41.14
135,India,Uttarakhand,Udam Singh Nagar,"Calendar Year (Jan - Dec), 2017",8,204.0,4808.0,56.54,39.07,40.37,57.99,29.52,57.33,49.42
136,India,Uttarakhand,Udam Singh Nagar,"Calendar Year (Jan - Dec), 2021",8,292.0,7520.0,49.27,43.74,34.33,33.67,30.2,42.63,34.32
137,India,Uttarakhand,Uttar Kashi,"Calendar Year (Jan - Dec), 2017",8,204.0,3952.0,55.24,31.68,37.64,57.39,30.02,54.45,46.17
138,India,Uttarakhand,Uttar Kashi,"Calendar Year (Jan - Dec), 2021",8,252.0,5228.0,57.58,49.33,39.6,46.06,31.82,45.67,40.53
139,India,Haryana,Ambala,"Calendar Year (Jan - Dec), 2017",8,200.0,4048.0,56.94,23.64,30.99,39.43,28.43,54.5,40.62
140,India,Haryana,Ambala,"Calendar Year (Jan - Dec), 2021",8,272.0,6704.0,59.7,51.38,40.39,44.25,33.96,50.12,45.39
141,India,Haryana,Bhiwani,"Calendar Year (Jan - Dec), 2017",8,141.30942062902085,2834.500731440948,54.19,27.57,34.27,44.09,30.31,53.34,37.2
142,India,Haryana,Bhiwani,"Calendar Year (Jan - Dec), 2021",8,204.0,4896.0,62.4,55.17,40.91,49.55,41.76,55.89,42.46
143,India,Haryana,Faridabad,"Calendar Year (Jan - Dec), 2017",8,204.0,4796.0,57.33,32.6,35.85,43.54,30.82,54.06,45.25
144,India,Haryana,Faridabad,"Calendar Year (Jan - Dec), 2021",8,212.0,5816.0,60.66,59.73,41.69,45.17,37.52,53.5,46.53
145,India,Haryana,Fatehabad,"Calendar Year (Jan - Dec), 2017",8,204.0,4508.0,59.81,34.33,32.92,47.29,29.68,60.25,35.79
146,India,Haryana,Fatehabad,"Calendar Year (Jan - Dec), 2021",8,196.0,5240.0,61.77,59.58,39.12,45.6,37.71,52.52,42.35
147,India,Haryana,Gurugram,"Calendar Year (Jan - Dec), 2017",8,196.0,3724.0,60.97,32.0,32.01,51.02,35.53,52.31,45.61
148,India,Haryana,Gurugram,"Calendar Year (Jan - Dec), 2021",8,208.0,5812.0,67.79,62.33,48.87,47.86,42.4,57.97,51.44
149,India,Haryana,Hisar,"Calendar Year (Jan - Dec), 2017",8,204.0,4796.0,58.54,30.22,35.93,49.54,38.83,56.07,47.33
150,India,Haryana,Hisar,"Calendar Year (Jan - Dec), 2021",8,200.0,5296.0,62.82,55.03,40.8,43.43,37.43,53.64,46.22
151,India,Haryana,Jhajjar,"Calendar Year (Jan - Dec), 2017",8,204.0,4028.0,60.45,38.31,42.02,58.19,31.12,58.91,49.8
152,India,Haryana,Jhajjar,"Calendar Year (Jan - Dec), 2021",8,216.0,5416.0,66.73,63.34,49.01,52.25,45.69,62.6,53.0
153,India,Haryana,Jind,"Calendar Year (Jan - Dec), 2017",8,201.38392926742975,4529.16405626945,54.02,28.29,31.71,36.27,27.18,50.07,31.11
154,India,Haryana,Jind,"Calendar Year (Jan - Dec), 2021",8,200.0,5264.0,60.74,58.75,41.97,45.11,37.52,49.77,48.61
155,India,Haryana,Kaithal,"Calendar Year (Jan - Dec), 2017",8,206.6160707325702,5086.835943730549,57.38638804925358,28.12266492152833,28.82593070634123,38.85877209635582,25.851162612136743,47.392638744453286,33.71845857617602
156,India,Haryana,Kaithal,"Calendar Year (Jan - Dec), 2021",8,192.0,4888.0,53.77,50.96,34.9,40.57,34.18,44.4,40.95
157,India,Haryana,Karnal,"Calendar Year (Jan - Dec), 2017",8,203.96544265553464,4631.215345002139,50.67,32.38,31.07,35.58,26.51,52.34,35.05
158,India,Haryana,Karnal,"Calendar Year (Jan - Dec), 2021",8,204.0,5236.0,59.88,55.92,39.46,39.33,36.51,48.97,47.93
159,India,Haryana,Kurukshetra,"Calendar Year (Jan - Dec), 2017",8,204.0,4112.0,56.86,33.33,29.09,40.66,25.93,54.21,38.11
160,India,Haryana,Kurukshetra,"Calendar Year (Jan - Dec), 2021",8,204.0,5104.0,59.19,49.88,37.89,40.25,34.21,52.33,39.44
161,India,Haryana,Mahendragarh,"Calendar Year (Jan - Dec), 2017",8,176.0,3684.0,61.19,29.24,32.8,52.88,31.29,51.84,40.38
162,India,Haryana,Mahendragarh,"Calendar Year (Jan - Dec), 2021",8,232.0,5580.0,69.22,63.0,49.46,57.26,55.54,60.32,50.63
163,India,Haryana,Panchkula,"Calendar Year (Jan - Dec), 2017",8,204.0,4680.0,60.09,31.39,33.41,46.24,30.47,56.55,38.7
164,India,Haryana,Panchkula,"Calendar Year (Jan - Dec), 2021",8,212.0,5584.0,66.41,58.58,46.68,41.98,38.89,56.15,52.9
165,India,Haryana,Panipat,"Calendar Year (Jan - Dec), 2017",8,204.03455734446536,4760.784654997861,59.6481007587344,38.81863796060685,41.097878687094216,53.696167677980775,32.81866545519088,61.88798020555831,43.80814728803044
166,India,Haryana,Panipat,"Calendar Year (Jan - Dec), 2021",8,196.0,5320.0,60.04,57.71,41.46,41.8,38.84,53.52,48.76
167,India,Haryana,Rewari,"Calendar Year (Jan - Dec), 2017",8,204.0,4152.0,60.66,39.1,35.16,55.3,31.57,53.11,49.53
168,India,Haryana,Rewari,"Calendar Year (Jan - Dec), 2021",8,216.0,5488.0,66.57,59.49,48.7,59.28,43.4,61.35,51.16
169,India,Haryana,Rohtak,"Calendar Year (Jan - Dec), 2017",8,204.0,3956.0,55.8,28.11,32.34,43.68,27.04,53.17,33.26
170,India,Haryana,Rohtak,"Calendar Year (Jan - Dec), 2021",8,200.0,5108.0,62.72,58.04,43.62,46.73,39.83,55.57,47.68
171,India,Haryana,Sirsa,"Calendar Year (Jan - Dec), 2017",8,204.0,4840.0,59.15,39.5,37.79,46.03,34.92,63.73,35.9
172,India,Haryana,Sirsa,"Calendar Year (Jan - Dec), 2021",8,204.0,5316.0,59.83,56.94,37.61,49.16,37.46,49.13,40.82
173,India,Haryana,Sonipat,"Calendar Year (Jan - Dec), 2017",8,172.0,4068.0,51.91,34.77,33.75,44.54,28.15,51.3,37.4
174,India,Haryana,Sonipat,"Calendar Year (Jan - Dec), 2021",8,208.0,5364.0,64.89,59.79,46.17,47.98,40.69,58.67,53.53
175,India,Haryana,Yamunanagar,"Calendar Year (Jan - Dec), 2017",8,204.0,4344.0,54.05,27.98,30.71,36.37,26.21,53.92,38.06
176,India,Haryana,Yamunanagar,"Calendar Year (Jan - Dec), 2021",8,200.0,5060.0,63.57,62.75,44.14,52.36,40.93,57.27,50.18
